_firestoreId,name,churchType,denomination,archdiocese,city,address,latitude,longitude,status,website,phone,languages,language_count,service_count
24,St. Joseph’s Catholic Church (1994) - Bolarum Parish,Parish,Catholic,,Secunderabad,"St. Joseph’s Church
H.No. 42/A, Cariappa Road Bolarum, Secunderabad - 500 010, T.S.",17.5122,78.5111,active,archdioceseofhyderabad.org,+91 40 2786 5678,English; Telugu; Tamil,3,2
25,St. Mark's Catholic Church,Parish,Catholic,,Secunderabad,"St. Mark’s Church
Tandur, Vikarabad Dt. - 501 141, T.S.",17.4322,78.4988,active,archdioceseofhyderabad.org,+91 40 2770 1234,Telugu; English,2,4
25uLOePJsTzjdEprbdua,Calvary Temple,Parish,Pentecostal,,Miyapur,"Opposite Metro Railway Station & Water Works Board, Calvary Temple Road, Miyapur, Hyderabad-500049, Telangana",,,active,To be updated,To be updated,English; Telugu,2,2
26,St. Anthony's Catholic Church,Parish,Catholic,,Secunderabad,"St. Anthony’s Church
St. Anthony’s Presbytery H.No: 1-16-59/2, Sai Nagar Colony Venkatapuram, Alwal, Secunderabad 
500 015, T.S.",17.4955,78.5022,active,archdioceseofhyderabad.org,+91 40 2779 5678,Telugu; English,2,5
27,Divine Mercy Catholic Church(2016) - Madinaguda Parish,Parish,Catholic,,Hyderabad,"Divine Mercy Church
Near St. Ann’s Convent H.No. 11-54/1, Sainagar Colony , Madinaguda, Miyapur - 500 049, T.S.",17.3688,78.5244,active,archdioceseofhyderabad.org,+91 40 2404 1234,Telugu; English,2,5
28,Our Lady of Perpetual Help(2003) - Jagadgirigutta Parish,Parish,Catholic,,Hyderabad,"Our Lady of Perpetual Help Church
Sanjaypuri Colony opp. Hero Hari Om Motors Jagadgirigutta, Hyderabad-500 037,T.S.",17.4255,78.5677,active,archdioceseofhyderabad.org,+91 40 2715 1234,Telugu; English,2,3
29,Our Lady of Perpetual Help Church(1986) - Seethaphalmandi,Parish,Catholic,,Secunderabad,Bowenpally,17.4788,78.4711,active,archdioceseofhyderabad.org,+91 40 2775 5678,Telugu; English; Tamil,3,4
2qmVow0hKbuWmly6AlSd,Centenary Methodist Hindustani Church (CMHC),Methodist Church,Methodist,To be updated,Hyderabad,"Chapel Road, Mahesh Nagar Colony, Abids, Hyderabad, Telangana 500001 (Opposite Stanley School)",,,active,https://www.cmhcinfo.com/,+91 40 2320 2285,English; Telugu,2,2
3,Shrine of Our Lady of Health,Shrine,Catholic,,Hyderabad,"Shrine of our Lady of Health Church
A. C. Guards, Khairatabad, Hyderabad - 500 004, T.S.",17.4082,78.4611,active,archdioceseofhyderabad.org,+91 40 2331 1234,Telugu; English; Tamil,3,4
30,Sacred Heart Church (1982) - Basuregadi Parish,Parish,Catholic,,Secunderabad,"Sacred Heart Church,
C/o Claret Nilayam, Basuregadi Girmapur P.O., Medchal Dt. - 501 401, T.S.",17.4611,78.5355,active,archdioceseofhyderabad.org,+91 40 2722 1234,Telugu; English; Tamil,3,5
3oCoOBZ45JDsQ6x81e9z,Our Lady of Vailankanni Shrine(1997) - Shamshabad,Shrine,Catholic,Archdiocese of Hyderabad,Shamshabad,"Our Lady of Vailankanni Shrine
Vailankanni Nagar, Shamshabad P.O. R. R. Dt. - 501 218, T.S.",,,active,https://archdioceseofhyderabad.org,,Telugu; English,2,2
4,St. Anthony's Shrine,Shrine,Catholic,,Secunderabad,"St. Anthony’s Shrine
H.No. 12-7-1, New Mettuguda Secunderabad - 500 017, T.S.",17.4332,78.5273,active,www.stanthonymettuguda.in,+91 40 2782 1234,English; Telugu; Tamil,3,12
4zTWu00vDXDlU6jah0MD,St. Patrick’s Church,Parish,Catholic,Archdiocese of Hyderabad,Garrison,To be updated,,,active,To be updated,To be updated,English,1,2
5,Holy Family Church,Parish,Catholic,,Secunderabad,Trimulgherry,17.4855,78.5088,active,holyfamilychurch.org,+91 40 2779 1234,English; Telugu; Tamil,3,11
5V2OUzRskkK6Equ93QX8,Hyderabad Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
6,Sacred Heart Church,Parish,Catholic,,Secunderabad,South Lallaguda,17.4262,78.5262,active,archdioceseofhyderabad.org,+91 40 2700 1234,English; Telugu; Tamil,3,5
7,St. Francis Xavier Church,Parish,Catholic,,Secunderabad,Yapral,17.4925,78.5415,active,archdioceseofhyderabad.org,+91 40 2786 1234,English; Telugu,2,3
8,St. John the Baptist Church,Parish,Catholic,,Hyderabad,Ramkote,17.3879,78.4846,active,archdioceseofhyderabad.org,+91 40 2475 2345,Telugu; English,2,4
8QsaZOW4Xx4E7XcdiFGb,Shrine Of Our Lady Of Grace (2006) - Aliabad Parish,Shrine,Catholic,Hyderabad,Aliabad,"Shrine of our Lady of Grace Ave Maria Nagar, Aliabad P.O. Medchal Dt. - 500 078, Telangana.",,,active,,,,0,0
8cYvU7aXNAeXT7KIFc9S,Hebron Church,Parish,Pentecostal,To be updated,Golconda Crossroads,Golconda Crossroads,,,active,To be updated,To be updated,English; Telugu,2,2
8okK6zeL0ZaDWFf6pdDn,Methodist Church in India,Parish,Methodist,To be updated,Abids,Abids,,,active,To be updated,To be updated,English; Telugu,2,2
8qZdNTOxuiR236p2u5Cc,St. Francis Xavier Church,Parish,Catholic,Hyderabad,Alwal,"C/o Loyola Academy, Old Alwal Secunderabad - 500 010, T.S.",,,active,,,,0,0
9,Christ the King Church,Parish,Catholic,,Secunderabad,Sainikpuri,17.4862,78.548,active,archdioceseofhyderabad.org,+91 40 2711 1234,English; Telugu,2,3
ALCO09FoW9EywyYoCGWi,Karunagiri  Shrine,Shrine,Catholic,Archdiocese of Hyderabad,Suraram,To be updated,,,active,To be updated,To be updated,English; Telugu,2,4
AMDD1WZpDRywkKtR1glO,St. Ann’s Church,Parish,Catholic,Archdiocese of Hyderabad,Mallapur,To be updated,,,active,To be updated,To be updated,English; Telugu; Hindi,3,3
BR5bbsciEKAGPvs4vNS8,Maria Rani Church,Parish,Catholic,Archdiocese of Hyderabad,Adibatla,To be updated,,,active,To be updated,To be updated,Telugu,1,2
CRq9qbu4EpnjAaZF1PYS,St. Cecilia’s Church,Parish,Catholic,Archdiocese of Hyderabad,Dayanandnagar,To be updated,,,active,To be updated,To be updated,English; Telugu,2,4
Dcwaso0LbohF5aoP1mr4,St. Anthony’s Church,Parish,Catholic,Archdiocese of Hyderabad,Bazar Ghat,To be updated,,,active,To be updated,To be updated,Telugu; English,2,5
E7nBvhH4QHQLFqSdr0nn,St. Joseph’s Church,Parish,Catholic,Archdiocese of Hyderabad,Cherlapally,To be updated,,,active,To be updated,To be updated,Telugu,1,1
FaBRR1LjlApROmxWN3Cu,CSI Holy Trinity Church,Parish,CSI,To be updated,Bolarum,"St. Ann's Girls School, Holy Trinity Church Road, opposite St, Bison Environmental Park, Bolarum, Secunderabad, Telangana 500010",,,active,To be updated,To be updated,English; Telugu,2,2
FqqAGB0UhD8XwXMyXrWJ,Trinity Methodist Church,Parish,Methodist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
HTM6kLwYQkXIyHHXcXJv,Calvary Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
IALsKNhQ00kJerd1XnnW,Grace Pentecostal Church,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
IDgDROGGhrbhYAC60F1a,CSI St. George's Church,Parish,CSI,To be updated,Abids,Abids,,,active,To be updated,To be updated,English; Telugu,2,2
KLIe6MPoJtRduCSU1Ho9,Auxilium  Church,Parish,Catholic,Archdiocese of Hyderabad,Mahendra Hills,To be updated,,,active,To be updated,To be updated,Telugu; English,2,3
NWbv29bVjAOMwoY4gS7q,CSI Centenary Wesley Church,Parish,CSI,To be updated,Ramkote,Ramkote,,,active,To be updated,To be updated,English; Telugu,2,2
OIUWpJbIU2AYlGT1dAXN,Emmanuel Pentecostal Church,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
OsGvd5vExrmYEKAm1t2j,CSI St. Thomas Church,Parish,CSI,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
QGzhNGyDB943seiFVfGg,St. Joseph's Church,Parish,Catholic,Hyderabad,Alirajpet,"St. Joseph's Church Alirajpet P.O., Jagdevpur Mandal Gajwel Thaluk, Siddipet Dt. - 502 281, Telangana.",,,active,,,,0,0
RkhykIhAdO2WpQCKKhZu,CSI Immanuel Church,Parish,CSI,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
Rnt0kcnegzwrJm756ZjC,St. Mother  Theresa Church,Parish,Catholic,Archdiocese of Hyderabad,Manikonda Mission,To be updated,,,active,To be updated,To be updated,Telugu; English,2,2
S71RtAjEBjc61WCQtDtp,Zion Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
Sbunasn9o8bCClhz6QzT,Maria Rosa Mystica Church,Parish,Catholic,Archdiocese of Hyderabad,L.B.Nagar,To be updated,,,active,To be updated,To be updated,English; Telugu,2,3
SrGZbcXMWUnQY5oRzFAP,Faith Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
TzkRuvj9uqelCXwmlyYf,CSI Garrison Wesley Church,Parish,CSI,To be updated,Trimulgherry,Trimulgherry,,,active,To be updated,To be updated,English; Telugu,2,2
U0mmwn9b6estzC2CLhcY,Zion Methodist Church,Parish,Methodist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
WqEXyeMKFWl4t0dtzM4U,Our Lady of Compassion,Parish,Catholic,Archdiocese of Hyderabad,Medipally,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
XokIR61A7tydnLzfDTV3,St. Francis Xavier’s Church,Parish,Catholic,Archdiocese of Hyderabad,Borabanda,To be updated,,,active,To be updated,To be updated,Telugu; English,2,2
YWUgwFtO6m6bFHFiEJfX,St. Francis de Sales Church,Parish,Catholic,Archdiocese of Hyderabad,Shantinagar,To be updated,,,active,To be updated,To be updated,English; Telugu,2,4
Z5yGYCXWeJptiCpmu3vD,CSI All Saints Church,Parish,CSI,To be updated,Trimulgherry,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
ZFasKhXOyn9R8KoOG0i9,Bethel Pentecostal Church,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
Zni6t7mRMsGHHFCQVnOe,Immac. Heart of Mary’s Ch.,Parish,Catholic,Archdiocese of Hyderabad,Ghatkesar,To be updated,,,active,To be updated,To be updated,Telugu; English,2,3
ZpvtXPe394B9OOxaSDSy,STBC Centenary Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
ZtvQJLWh5vQfCuyMDJN9,St. Agnes’ Church,Parish,Catholic,Archdiocese of Hyderabad,Shapurnagar,To be updated,,,active,To be updated,To be updated,Telugu; English,2,3
bHGcUtYC14lXgD3SzTSz,Bethel Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
bdApO5mRmMD8RGXEPjds,Emmanuel Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
cJXy5OjQy9inJcGrBi9e,Christ Gospel Church,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
cSGc48cUzVSnU2gqkrPB,Grace Baptist Church,Parish,Baptist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
eBlgquYnTwY6anlQaMTx,St. Paul the Hermit  Church,Parish,Catholic,Archdiocese of Hyderabad,Nandrakal,To be updated,,,active,To be updated,To be updated,Telugu,1,3
h1XxPVyyh7Fm8y5IgAyM,Our Lady of Fatima Church,Parish,Catholic,Archdiocese of Hyderabad,Dammaiguda,To be updated,,,active,To be updated,To be updated,English; Telugu,2,4
hf6TP4SZ5R3EKHnTZQkX,Holy Spirit Church,Parish,Catholic,Archdiocese of Hyderabad,Church Colony,To be updated,,,active,To be updated,To be updated,English; Telugu,2,3
hnG2GEVtKs2MliPq6G8b,Our Lady of Sorrows Church,Parish,Catholic,Archdiocese of Hyderabad,Jahanuma,To be updated,,,active,To be updated,To be updated,English,1,3
iQE6v2aIL2XhQYh0shUu,Divine Mercy Church,Parish,Catholic,Archdiocese of Hyderabad,Madinaguda,To be updated,,,active,To be updated,To be updated,Telugu; English,2,2
k4B6wa3VWryDHgI0mBrO,New Life Assembly of God,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
kYnDBeZxGJyisLOgQdyc,Velankanni Matha Church,Parish,Catholic,Archdiocese of Hyderabad,Balaji Nagar,To be updated,,,active,To be updated,To be updated,English; Telugu,2,1
kd930DAlWQ1jWY0SUwZi,Our Lady of Perpetual Help,Parish,Catholic,Archdiocese of Hyderabad,Jagadgirigutta,To be updated,,,active,To be updated,To be updated,Telugu; English,2,3
lAMtbdfebb3MEMWL91t2,Sacred Heart Church,Parish,Catholic,Hyderabad,Armoor,"Sacret Heart Church H.No. 1-18/1/2 Beside St. Ann's High School Perkit, Kotarmoor, Armoor Nizamabad Dt. - 503 224, T.S.",,,active,,,,0,0
lqAKzwijkGLs7dyAXGGY,St. Stanislaus Church,Parish,Catholic,Archdiocese of Hyderabad,Gaddiannaram,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
mYRDtQuSg5AC0H3kuEgX,Wesley Methodist Church,Parish,Methodist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
nCZDVf9VnU5npdsE2wRE,St. John Maria Vianney,Parish,Catholic,Archdiocese of Hyderabad,Bhoiguda,To be updated,,,active,To be updated,To be updated,English; Telugu,2,5
nI8IqnDZ64wLWCwjXrYw,CSI Emmanuel Church,Parish,CSI,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
ooyPw8YkIa7U7OFGt7Bs,St. Bernard's Church,Parish,Catholic,Hyderabad,Ammuguda,"St. Bernard's Church Ammuguda, J. J. Nagar Colony P.O. Secunderabad - 500 087, T.S.",,,active,To be updated,To be updated,Tamil; English,2,2
r06aYr1UElnn1jqG9twR,St. Paul's Methodist Church,Parish,Methodist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
r4wq26T7xL2Rkfnb0LN2,CSI Wesley Church,Parish,CSI,To be updated,Secunderabad,Clock Tower,,,active,To be updated,To be updated,English; Telugu,2,2
sDiEqQ2Izc8oK2T4yUdF,Emmanuel Methodist Church,Parish,Methodist,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
sTlxl2D3w4rv48lm0yNf,Centenary Methodist English Church,Parish,Methodist,To be updated,Secunderabad,"5-8-328/3-10 & 4/A, Chapel Rd, Mahesh Nagar Colony, Abids, Hyderabad, Telangana 500001",,,active,https://www.cmechyd.org/,040 2320 2285,English; Telugu,2,2
uk5I1KGlhTz6CY7SyYWW,Assemblies of God Church,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
vsuwtle06Nv8LxOrISmG,Secunderabad Baptist Church,Parish,Baptist,To be updated,Secunderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
wLM3js2yLhdh6vAMqek9,Faith Pentecostal Church,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
xCTNYMx73hvJfRelsugn,Centenary Baptist Church,Parish,Baptist,To be updated,Secunderabad,"Centenary Baptist Church, Plot No 61/A, St Marys Rd, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana 500003",,,active,To be updated,040 2770 5409,English; Telugu,2,2
xOwfvnz4RzB40N1e0tK5,Zion Pentecostal Church,Parish,Pentecostal,To be updated,Hyderabad,To be updated,,,active,To be updated,To be updated,English; Telugu,2,2
